AquaCrop 4.0 (June 2012) - Output created on (date) : 01/05/2014   at (time) : 10:16:34
Electrical conductivity of the saturated soil-paste extract (dS/m) at various depths (at center of compartments)

                 at depth (m):      0.05        0.15        0.25        0.35        0.45        0.55        0.65        0.75        0.85        0.95
   Day Month  Year   DAP Stage      ECe1        ECe2        ECe3        ECe4        ECe5        ECe6        ECe7        ECe8        ECe9       ECe10       ECe11       ECe12
    22     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30     9  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    31    10  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30    11  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1    12  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2    12  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3    12  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4    12  1996     1    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5    12  1996     2    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6    12  1996     3    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7    12  1996     4    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8    12  1996     5    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9    12  1996     6    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10    12  1996     7    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11    12  1996     8    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12    12  1996     9    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13    12  1996    10    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14    12  1996    11    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15    12  1996    12    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16    12  1996    13    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17    12  1996    14    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18    12  1996    15    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19    12  1996    16    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20    12  1996    17    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21    12  1996    18    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22    12  1996    19    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23    12  1996    20    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
