STATION;STATION_NAME;ELEVATION;LATITUDE;LONGITUDE;DATE;PRCP;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMAX;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMIN;Measurement Flag;Quality Flag;Source Flag;Time of Observation
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030101;0; ; ;s;9999;-12; ; ;s;9999;-107; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030102;0; ; ;s;9999;-12; ; ;s;9999;-83; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030103;0; ; ;s;9999;-47; ; ;s;9999;-110; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030104;0; ; ;s;9999;-65; ; ;s;9999;-97; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030105;0; ; ;s;9999;-37; ; ;s;9999;-143; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030106;0; ; ;s;9999;-3; ; ;s;9999;-124; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030107;0; ; ;s;9999;-4; ; ;s;9999;-117; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030108;0; ; ;s;9999;-5; ; ;s;9999;-128; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030109;0; ; ;s;9999;52; ; ;s;9999;-90; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030110;0; ; ;s;9999;70; ; ;s;9999;-53; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030111;0; ; ;s;9999;95; ; ;s;9999;-72; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030112;0; ; ;s;9999;108; ; ;s;9999;-59; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030113;0; ; ;s;9999;78; ; ;s;9999;-9; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030114;0; ; ;s;9999;40; ; ;s;9999;-51; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030115;0; ; ;s;9999;12; ; ;s;9999;-76; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030116;0; ; ;s;9999;20; ; ;s;9999;-51; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030117;0; ; ;s;9999;58; ; ;s;9999;-40; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030118;0; ; ;s;9999;22; ; ;s;9999;-36; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030119;0; ; ;s;9999;37; ; ;s;9999;-51; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030120;0; ; ;s;9999;39; ; ;s;9999;-22; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030121;0;T; ;s;9999;7; ; ;s;9999;-65; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030122;76; ; ;s;9999;57; ; ;s;9999;-20; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030123;0; ; ;s;9999;27; ; ;s;9999;-54; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030124;0;T; ;s;9999;-7; ; ;s;9999;-90; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030125;11; ; ;s;9999;-4; ; ;s;9999;-22; ; ;s;9999
